Trial,type,plant_ID,freq,plant_part,action, flowers_cluster,seeds_cluster,floral_area,Remarks,Time (hr),no. of bees,CVR
1,N,13,7,,,20,,3,Bent,1,5,2.33
1,N,139,3,,,13,,4,Bent,1,5,0.75
1,N,156,1,,,18,,7.5,Bent,1,5,0.13
1,N,225,1,,,9,,2.25,Bent,1,5,0.44
1,N,231,7,,,15,,3,Bent,1,5,2.33
1,N,27,1,,,18,,5,Bent,1,5,0.2
1,N,43,5,,,10,,1.5,Bent,1,5,3.33
1,N,55,1,,,14,,3,Bent,1,5,0.33
1,N,GDF,1,,,34,,18,Spread across stem,1,5,0.06
1,N,RUB,1,,,9,,1,,1,5,1
1,E,13,2,,,20,,3,bent,1,5,0.67
1,E,157,5,,,11,,3,bent,1,5,1.67
2,N,13,3,,,21,,6.25,Bent,1,5,0.48
2,N,139,29,,,16,,4,Bent,1,5,7.25
2,N,156,5,,,15,,5,Bent,1,5,1
2,N,157,2,,,13,,3,grooming,1,5,0.67
2,N,185,2,,,15,,16,,1,5,0.13
2,N,231,6,,,13,,5,Bent,1,5,1.2
2,N,27,7,,,11,,3,Bent,1,5,2.33
2,N,43,9,,,10,,4,Bent,1,5,2.25
2,N,55,2,,,12,,3,,1,5,0.67
2,N,GDF,14,,nectar,30,,14,,1,5,1
2,E,13,1,,,14,18,3,,1,5,0.33
2,E,139,6,,,25,7,10.5,bent,1,5,0.57
2,E,157,1,,,17,3,5,,1,5,0.2
2,E,185,2,,,21,0,10.5,bent,1,5,0.19
2,E,231,1,,,21,0,6.25,,1,5,0.16
2,E,27,2,,,16,11,5,"right after bee escaped, placed back into arena",1,5,0.4
2,E,43,1,,,10,10,3,bent,1,5,0.33
2,E,55,1,,,10,11,1.5,,1,5,0.67
2,E,GDF,5,,,25,0,16,bent,1,5,0.31
3,N,13,1,,,13,29,2.3,bent,1,5,0.43
3,N,139,1,,,16,5,3.12,bent,1,5,0.32
3,N,157,4,,,14,6,3.8,bent,1,5,1.05
3,N,185,2,,,18,0,12.95,spread,1,5,0.15
3,N,225,3,,,10,11,2.25,bent,1,5,1.33
3,N,231,2,,,22,0,8.7,,1,5,0.23
3,N,27,4,,,17,6,5.98,,1,5,0.67
3,N,43,3,,,13,6,5.5,spread,1,5,0.55
3,N,55,2,,,18,9,5.72,bent,1,5,0.35
3,N,GDF,13,,,19,0,12.09,bent; spread,1,5,1.08
3,N,RUB,2,,,12,14,1.82,petals mostly closed,1,5,1.1
3,E,13,2,,,23,5,10.5,,1,5,0.19
3,E,139,4,,,11,0,5,bent,1,5,0.8
3,E,156,3,,,17,11,7.056,,1,5,0.43
3,E,157,2,,,11,5,5,,1,5,0.4
3,E,185,3,,,21,1,11.22,bent,1,5,0.27
3,E,225,10,,,13,6,3.06,bent,1,5,3.27
3,E,231,5,,,12,0,6,,1,5,0.83
3,E,43,2,,what is the real duration? could not read well,9,0,1.5,,1,5,1.33
3,E,55,3,,,14,10,1.5,,1,5,2
3,E,GDF,10,,,12,0,7.5,bent,1,5,1.33
3,E,RUB,2,,,10,12,0.77976,,1,5,2.56
4,N,139,3,,,16,12,4.7089,bent,1,5,0.64
4,N,231,4,"flowers, plant holder",,23,1,5.8,mostly water from holder,1,5,0.69
4,N,27,3,,,16,7,4.9088,bent,1,5,0.61
4,N,43,4,flowers,nectar,14,6,4.0788,bent,1,5,0.98
4,N,55,1,,"nectar, water",7,19,1.725,bent,1,5,0.58
4,N,RUB,3,,water,11,2,1.56,bent,1,5,1.92
4,E,13,5,flower,,18,17,2.27136,bent,1,5,2.2
4,E,139,2,,,17,3,10.77,bent,1,5,0.19
